source_table	original	canonical
BTU_GEO	BTU2(Gwell_L)_ReturnT (°F)	geo/well_left/return_temperature
BTU_GEO	BTU2(Gwell_L)_SupplyT (°F)	geo/well_left/supply_temperature
BTU_GEO	BTU2(Gwell_L)_energy (kBTU_h)	geo/well_left/energy
BTU_GEO	BTU2(Gwell_L)_flow (GPM)	geo/well_left/flow
BTU_GEO	BTU3(Gwell_R)_ReturnT (°F)	geo/well_right/return_temperature
BTU_GEO	BTU3(Gwell_R)_SupplyT (°F)	geo/well_right/supply_temperature
BTU_GEO	BTU3(Gwell_R)_energy (kBTU_h)	geo/well_right/energy
BTU_GEO	BTU3(Gwell_R)_flow (GPM)	geo/well_right/flow
BTU_GEO	BTU4(Gwell_Com)_ReturnT (°F)	geo/well_common/return_temperature
BTU_GEO	BTU4(Gwell_Com)_SupplyT (°F)	geo/well_common/supply_temperature
BTU_GEO	BTU4(Gwell_Com)_energy (kBTU_h)	geo/well_common/energy
BTU_GEO	BTU4(Gwell_Com)_flow (GPM)	geo/well_common/flow
BTU_TABS	BTU10(Z21+22+23+24+25+26+27)_ReturnT (°F)	tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/return_temperature
BTU_TABS	BTU10(Z21+22+23+24+25+26+27)_SupplyT (°F)	tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/supply_temperature
BTU_TABS	BTU10(Z21+22+23+24+25+26+27)_energy (kBTU_h)	tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/energy
BTU_TABS	BTU10(Z21+22+23+24+25+26+27)_flow (GPM)	tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/flow
BTU_TABS	BTU11(Z32+33)_ReturnT (°F)	tabs/Z32_Z33/return_temperature
BTU_TABS	BTU11(Z32+33)_SupplyT (°F)	tabs/Z32_Z33/supply_temperature
BTU_TABS	BTU11(Z32+33)_energy (kBTU_h)	tabs/Z32_Z33/energy
BTU_TABS	BTU11(Z32+33)_flow (GPM)	tabs/Z32_Z33/flow
BTU_TABS	BTU13(Z31)_ReturnT (°F)	tabs/Z31/return_temperature
BTU_TABS	BTU13(Z31)_SupplyT (°F)	tabs/Z31/supply_temperature
BTU_TABS	BTU13(Z31)_energy (kBTU_h)	tabs/Z31/energy
BTU_TABS	BTU13(Z31)_flow (GPM)	tabs/Z31/flow
BTU_TABS	BTU5(Z2+3+4+5)_ReturnT (°F)	tabs/Z02_Z03_Z04_Z05/return_temperature
BTU_TABS	BTU5(Z2+3+4+5)_SupplyT (°F)	tabs/Z02_Z03_Z04_Z05/supply_temperature
BTU_TABS	BTU5(Z2+3+4+5)_energy (kBTU_h)	tabs/Z02_Z03_Z04_Z05/energy
BTU_TABS	BTU5(Z2+3+4+5)_flow (GPM)	tabs/Z02_Z03_Z04_Z05/flow
BTU_TABS	BTU6(Z1)_ReturnT (°F)	tabs/Z01/return_temperature
BTU_TABS	BTU6(Z1)_SupplyT (°F)	tabs/Z01/supply_temperature
BTU_TABS	BTU6(Z1)_energy (kBTU_h)	tabs/Z01/energy
BTU_TABS	BTU6(Z1)_flow (GPM)	tabs/Z01/flow
BTU_TABS	BTU7(Z14+15+16+17)_ReturnT (°F)	tabs/Z14_Z15_Z16_Z17/return_temperature
BTU_TABS	BTU7(Z14+15+16+17)_SupplyT (°F)	tabs/Z14_Z15_Z16_Z17/supply_temperature
BTU_TABS	BTU7(Z14+15+16+17)_energy (kBTU_h)	tabs/Z14_Z15_Z16_Z17/energy
BTU_TABS	BTU7(Z14+15+16+17)_flow (GPM)	tabs/Z14_Z15_Z16_Z17/flow
BTU_TABS	BTU8(Z11+12+13)_ReturnT (°F)	tabs/Z11_Z12_Z13/return_temperature
BTU_TABS	BTU8(Z11+12+13)_SupplyT (°F)	tabs/Z11_Z12_Z13/supply_temperature
BTU_TABS	BTU8(Z11+12+13)_energy (kBTU_h)	tabs/Z11_Z12_Z13/energy
BTU_TABS	BTU8(Z11+12+13)_flow (GPM)	tabs/Z11_Z12_Z13/flow
Facade_temperature	East_facade_high_temp (°F)	outdoor/facade/east/high
Facade_temperature	East_facade_low_temp (°F)	outdoor/facade/east/low
Facade_temperature	North_facade_high_temp (°F)	outdoor/facade/north/high
Facade_temperature	North_facade_low_temp (°F)	outdoor/facade/north/low
Facade_temperature	South_facade_high_temp (°F)	outdoor/facade/south/high
Facade_temperature	South_facade_low_temp (°F)	outdoor/facade/south/low
Facade_temperature	South_facade_mid_temp (°F)	outdoor/facade/south/mid
Facade_temperature	West_facade_high_left_temp (°F)	outdoor/facade/west/high_left
Facade_temperature	West_facade_high_right_temp (°F)	outdoor/facade/west/high_right
