name	unit	short_desc	long_desc
geo/well_left/flow	GPM	geothermal flow, left well loop	Geothermal flow for left well loop.
geo/well_right/flow	GPM	geothermal flow, right well loop	Geothermal flow for right well loop.
geo/well_common/flow	GPM	geothermal flow, common (mixed) well loop	Geothermal flow for common (mixed) well loop.
geo/well_left/supply_temperature	F	geothermal supply temperature, left well, into the heat-pump evaporator/condenser	Geothermal supply temperature for left well, into the heat-pump evaporator/condenser.
geo/well_left/return_temperature	F	geothermal return temperature, left well, returning from the heat pump	Geothermal return temperature for left well, returning from the heat pump.
geo/well_right/supply_temperature	F	geothermal supply temperature, right well, into the heat-pump evaporator/condenser	Geothermal supply temperature for right well, into the heat-pump evaporator/condenser.
geo/well_right/return_temperature	F	geothermal return temperature, right well, returning from the heat pump	Geothermal return temperature for right well, returning from the heat pump.
geo/well_common/supply_temperature	F	geothermal supply temperature, common (mixed) well, into the heat-pump evaporator/condenser	Geothermal supply temperature for common (mixed) well, into the heat-pump evaporator/condenser.
geo/well_common/return_temperature	F	geothermal return temperature, common (mixed) well, returning from the heat pump	Geothermal return temperature for common (mixed) well, returning from the heat pump.
geo/well_left/energy	kBTU/h	geothermal energy, left well loop	Geothermal energy for left well loop. 3 geothermal-well meters [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
geo/well_right/energy	kBTU/h	geothermal energy, right well loop	Geothermal energy for right well loop. 3 geothermal-well meters [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
geo/well_common/energy	kBTU/h	geothermal energy, common (mixed) well loop	Geothermal energy for common (mixed) well loop. 3 geothermal-well meters [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
tabs/Z01/flow	GPM	TABS water flow rate, zone Z01 (basement)	TABS water flow rate for zone Z01 (basement).
tabs/Z02_Z03_Z04_Z05/flow	GPM	TABS water flow rate, zone Z02_Z03_Z04_Z05 (basement)	TABS water flow rate for zone Z02_Z03_Z04_Z05 (basement).
tabs/Z11_Z12_Z13/flow	GPM	TABS water flow rate, zone Z11_Z12_Z13 (1st floor)	TABS water flow rate for zone Z11_Z12_Z13 (1st floor).
tabs/Z14_Z15_Z16_Z17/flow	GPM	TABS water flow rate, zone Z14_Z15_Z16_Z17 (1st floor)	TABS water flow rate for zone Z14_Z15_Z16_Z17 (1st floor).
tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/flow	GPM	TABS water flow rate, zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor)	TABS water flow rate for zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor).
tabs/Z31/flow	GPM	TABS water flow rate, zone Z31 (3rd floor)	TABS water flow rate for zone Z31 (3rd floor).
tabs/Z32_Z33/flow	GPM	TABS water flow rate, zone Z32_Z33 (3rd floor)	TABS water flow rate for zone Z32_Z33 (3rd floor).
tabs/Z01/supply_temperature	F	TABS supply water temperature, zone Z01 (basement)	TABS supply water temperature for zone Z01 (basement).
tabs/Z01/return_temperature	F	TABS return water temperature, zone Z01 (basement)	TABS return water temperature for zone Z01 (basement).
tabs/Z02_Z03_Z04_Z05/supply_temperature	F	TABS supply water temperature, zone Z02_Z03_Z04_Z05 (basement)	TABS supply water temperature for zone Z02_Z03_Z04_Z05 (basement).
tabs/Z02_Z03_Z04_Z05/return_temperature	F	TABS return water temperature, zone Z02_Z03_Z04_Z05 (basement)	TABS return water temperature for zone Z02_Z03_Z04_Z05 (basement).
tabs/Z11_Z12_Z13/supply_temperature	F	TABS supply water temperature, zone Z11_Z12_Z13 (1st floor)	TABS supply water temperature for zone Z11_Z12_Z13 (1st floor).
tabs/Z11_Z12_Z13/return_temperature	F	TABS return water temperature, zone Z11_Z12_Z13 (1st floor)	TABS return water temperature for zone Z11_Z12_Z13 (1st floor).
tabs/Z14_Z15_Z16_Z17/supply_temperature	F	TABS supply water temperature, zone Z14_Z15_Z16_Z17 (1st floor)	TABS supply water temperature for zone Z14_Z15_Z16_Z17 (1st floor).
tabs/Z14_Z15_Z16_Z17/return_temperature	F	TABS return water temperature, zone Z14_Z15_Z16_Z17 (1st floor)	TABS return water temperature for zone Z14_Z15_Z16_Z17 (1st floor).
tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/supply_temperature	F	TABS supply water temperature, zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor)	TABS supply water temperature for zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor).
tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/return_temperature	F	TABS return water temperature, zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor)	TABS return water temperature for zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor).
tabs/Z31/supply_temperature	F	TABS supply water temperature, zone Z31 (3rd floor)	TABS supply water temperature for zone Z31 (3rd floor).
tabs/Z31/return_temperature	F	TABS return water temperature, zone Z31 (3rd floor)	TABS return water temperature for zone Z31 (3rd floor).
tabs/Z32_Z33/supply_temperature	F	TABS supply water temperature, zone Z32_Z33 (3rd floor)	TABS supply water temperature for zone Z32_Z33 (3rd floor).
tabs/Z32_Z33/return_temperature	F	TABS return water temperature, zone Z32_Z33 (3rd floor)	TABS return water temperature for zone Z32_Z33 (3rd floor).
tabs/Z01/energy	kBTU/h	TABS energy delivered, zone Z01 (basement)	TABS energy delivered for zone Z01 (basement). 10 BTU meters total across geo + tabs [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Computed by the BTU meter from supply/return T and flow. The second-floor BTU is a floor-aggregate measurement (return water temperature read for the whole floor, not per-zone), so the Z21–Z27 group shares a single energy reading [report, "Notices"]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
tabs/Z02_Z03_Z04_Z05/energy	kBTU/h	TABS energy delivered, zone Z02_Z03_Z04_Z05 (basement)	TABS energy delivered for zone Z02_Z03_Z04_Z05 (basement). 10 BTU meters total across geo + tabs [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Computed by the BTU meter from supply/return T and flow. The second-floor BTU is a floor-aggregate measurement (return water temperature read for the whole floor, not per-zone), so the Z21–Z27 group shares a single energy reading [report, "Notices"]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
tabs/Z11_Z12_Z13/energy	kBTU/h	TABS energy delivered, zone Z11_Z12_Z13 (1st floor)	TABS energy delivered for zone Z11_Z12_Z13 (1st floor). 10 BTU meters total across geo + tabs [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Computed by the BTU meter from supply/return T and flow. The second-floor BTU is a floor-aggregate measurement (return water temperature read for the whole floor, not per-zone), so the Z21–Z27 group shares a single energy reading [report, "Notices"]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
tabs/Z14_Z15_Z16_Z17/energy	kBTU/h	TABS energy delivered, zone Z14_Z15_Z16_Z17 (1st floor)	TABS energy delivered for zone Z14_Z15_Z16_Z17 (1st floor). 10 BTU meters total across geo + tabs [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Computed by the BTU meter from supply/return T and flow. The second-floor BTU is a floor-aggregate measurement (return water temperature read for the whole floor, not per-zone), so the Z21–Z27 group shares a single energy reading [report, "Notices"]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
tabs/Z21_Z22_Z23_Z24_Z25_Z26_Z27/energy	kBTU/h	TABS energy delivered, zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor)	TABS energy delivered for zone Z21_Z22_Z23_Z24_Z25_Z26_Z27 (2nd floor). 10 BTU meters total across geo + tabs [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Computed by the BTU meter from supply/return T and flow. The second-floor BTU is a floor-aggregate measurement (return water temperature read for the whole floor, not per-zone), so the Z21–Z27 group shares a single energy reading [report, "Notices"]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
tabs/Z31/energy	kBTU/h	TABS energy delivered, zone Z31 (3rd floor)	TABS energy delivered for zone Z31 (3rd floor). 10 BTU meters total across geo + tabs [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Computed by the BTU meter from supply/return T and flow. The second-floor BTU is a floor-aggregate measurement (return water temperature read for the whole floor, not per-zone), so the Z21–Z27 group shares a single energy reading [report, "Notices"]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
